epoch,optimizer_step,mean_training_loss,train_decision_accuracy,validation_decision_accuracy,elapsed_seconds
1,268,3.7392301123533676,0.42532348184090574,0.4250972049005942,1.3179426193237305
2,536,4.05326921904265,0.35788854580208795,0.3561000660259702,2.513684034347534
3,804,1.9792499491083089,0.8110388178209087,0.8103220600102707,3.6919028759002686
4,1072,1.3608124626439009,0.7243695780032349,0.718435918127797,4.839783191680908
5,1340,1.222896194015977,0.8874522129098662,0.8868021421759226,5.995245456695557
6,1608,0.557919301064824,0.9525896926922511,0.9509940576626806,7.187464237213135
7,1876,0.3561168921791684,0.9658414203793559,0.9642359328002348,8.341585874557495
8,2144,0.27016577681999154,0.9337413615644758,0.9330936835155161,9.542700052261353
9,2412,0.17065543773820374,0.9635715335980003,0.9627320079231164,10.737434387207031
10,2680,0.35625060202394015,0.9672015144831643,0.966033306433864,11.909175872802734
11,2948,0.12787016610434251,0.9395585208057639,0.9385224855109676,13.10685133934021
12,3216,0.10812596326047527,0.9670085281576238,0.9658865820556085,14.280540227890015
13,3484,0.23368047727897429,0.9393931039553007,0.9392561074022449,15.493088960647583
14,3752,0.09236631859806296,0.9447967210704308,0.9437678820335998,16.649707794189453
15,4020,0.26475919553846705,0.9425452139391266,0.9417871029271514,17.79617166519165
16,4288,0.19440012670264564,0.9560174974268489,0.9566429462255154,19.016414880752563
17,4556,0.0570159629686673,0.9679826496103514,0.9683442153913873,20.170081853866577
18,4824,0.10410305278188091,0.981997132774592,0.9824297557039102,21.359041690826416
19,5092,0.04194457021345551,0.9497224672842229,0.9496368571638177,22.547870874404907
20,5360,0.09090122460855046,0.9593809733862667,0.9602376934927738,23.691388607025146
21,5628,0.07328183226979776,0.9771265255109542,0.9783581542073215,24.88873600959778
22,5896,0.034395361103946274,0.9519280252903984,0.9519110850267772,26.094842195510864
23,6164,0.03389126146924613,0.9885954271430673,0.9878952387939256,27.295323610305786
24,6432,0.022888610700932472,0.9888895015438907,0.9884087741178197,28.468011617660522
25,6700,0.030838207224229308,0.9820247022496692,0.9802655711246424,29.633113622665405
26,6968,0.08607831946519853,0.995754300838112,0.9953781820849534,30.851033926010132
27,7236,0.01632878575319817,0.9872353330392589,0.9861345462548603,32.183082580566406
28,7504,0.017265151123105334,0.995138582561388,0.9947179223828039,33.42031717300415
29,7772,0.012168619170769312,0.995037494486105,0.9946078790991123,34.57117295265198
30,8040,0.013896554041264662,0.9987501837965005,0.9987161616902649,35.828561305999756
31,8308,0.011275658000946051,0.9834031760035289,0.9845572591886141,37.002992391586304
32,8576,0.0344186855891981,0.9677804734597854,0.9685643019587704,38.159690380096436
33,8844,0.05953101794881122,0.9960759447140126,0.995488225368645,39.32362937927246
34,9112,0.03425999941773897,0.9938244375827084,0.9932506786002494,40.51854181289673
35,9380,0.01837944127757184,0.9942012204087635,0.9939843004915266,41.687785148620605
36,9648,0.00731254729989407,0.9926297603293633,0.9924070134252806,42.855124950408936
37,9916,0.0063628780591436715,0.9909847816497573,0.9908297263590345,44.03069758415222
38,10184,0.00593256870049674,0.9947801793853845,0.9946078790991123,45.205373764038086
39,10452,0.01353189900947288,0.9849930157329805,0.9840070427701563,46.40679049491882
40,10720,0.011064070924394808,0.9987593736215262,0.998679480595701,47.5597710609436
41,10988,0.0038110299774687982,0.9878234818409057,0.9884821363069474,48.71950626373291
42,11256,0.0045969332006768416,0.9842762093809734,0.9840070427701563,49.91364550590515
43,11524,0.011563514301562817,0.9721180708719306,0.9744332770889883,51.055530071258545
44,11792,0.07883577755778992,0.9967008528157624,0.9964419338273054,52.23631262779236
45,12060,0.005229287916987613,0.9911134392001176,0.9913432616829286,53.38854169845581
46,12328,0.01928600099651717,0.9887608439935304,0.9895825691438632,54.580018520355225
47,12596,0.009697007590297452,0.9741306425525658,0.9736629741031473,55.73788237571716
48,12864,0.09620242352756672,0.9792953242170269,0.9793118626659819,56.9157931804657
49,13132,0.03537590271653515,0.988907881193942,0.9887022228743305,58.086092472076416
50,13400,0.011019974495947783,0.9877867225408028,0.9869415303352652,59.347726821899414
51,13668,0.006355281144534722,0.9983825907954712,0.9985327562174455,60.53726816177368
52,13936,0.001683213879249394,0.9961035141890898,0.9961484850707946,61.740766286849976
53,14204,0.004295880742055583,0.995276429936774,0.9953781820849534,62.991132736206055
54,14472,0.003123438650794951,0.993806057932657,0.9937275328295796,64.18812394142151
55,14740,0.002503872328222328,1.0,1.0,65.42082166671753
56,15008,0.005979308273708739,0.9897533450963094,0.9885554984960752,66.69076681137085
57,15276,0.025642956192168234,0.9893581826202029,0.9892157581982246,67.92128539085388
58,15544,0.018319574212390857,0.9538486987207764,0.9542219939843005,69.0625
59,15812,0.16037584605984437,0.9686443170122041,0.9697747780793778,70.22385764122009
60,16080,0.06558702171262788,0.9670636671077782,0.9683075342968234,71.4153664112091
